preset,training_seed,evaluation_seed,checkpoint_transition,task,episode,metric_name,metric_value
g1_lafan,4728,4728,9600000,move-ego-0-0,2,penalty_ankle_roll_mean,0.131039097905159
g1_lafan,4728,4728,9600000,move-ego-0-0,2,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,2,penalty_slippage_mean,0.16177263855934143
g1_lafan,4728,4728,9600000,move-ego-0-0,2,penalty_slippage_active_fraction,0.9920000433921814
g1_lafan,4728,4728,9600000,move-ego-0-0,3,return,11.203166007995605
g1_lafan,4728,4728,9600000,move-ego-0-0,3,auxiliary_cost,2.1787924766540527
g1_lafan,4728,4728,9600000,move-ego-0-0,3,safety_violation_rate,0.9960000514984131
g1_lafan,4728,4728,9600000,move-ego-0-0,3,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,3,action_l2,2.9007041454315186
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_torques_mean,5957.86572265625
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_action_rate_mean,2.208791971206665
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,3,limits_dof_pos_mean,0.08974284678697586
g1_lafan,4728,4728,9600000,move-ego-0-0,3,limits_dof_pos_active_fraction,0.9960000514984131
g1_lafan,4728,4728,9600000,move-ego-0-0,3,limits_torque_mean,3.1828713417053223
g1_lafan,4728,4728,9600000,move-ego-0-0,3,limits_torque_active_fraction,0.9860000610351562
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_undesired_contact_mean,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_undesired_contact_active_fraction,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_feet_ori_mean,0.43674802780151367
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_feet_ori_active_fraction,0.9960000514984131
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_ankle_roll_mean,0.13201089203357697
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_slippage_mean,0.17887115478515625
g1_lafan,4728,4728,9600000,move-ego-0-0,3,penalty_slippage_active_fraction,0.9960000514984131
g1_lafan,4728,4728,9600000,move-ego-0-0,4,return,3.9053940773010254
g1_lafan,4728,4728,9600000,move-ego-0-0,4,auxiliary_cost,2.588369131088257
g1_lafan,4728,4728,9600000,move-ego-0-0,4,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,4,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,4,action_l2,3.012763261795044
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_torques_mean,11647.8515625
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_action_rate_mean,3.80673885345459
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,4,limits_dof_pos_mean,0.08546962589025497
g1_lafan,4728,4728,9600000,move-ego-0-0,4,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,4,limits_torque_mean,5.125868797302246
g1_lafan,4728,4728,9600000,move-ego-0-0,4,limits_torque_active_fraction,0.9820000529289246
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_undesired_contact_mean,0.02200000174343586
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_undesired_contact_active_fraction,0.02200000174343586
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_feet_ori_mean,0.39588576555252075
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_feet_ori_active_fraction,0.9780000448226929
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_ankle_roll_mean,0.1342126429080963
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_slippage_mean,0.3178964853286743
g1_lafan,4728,4728,9600000,move-ego-0-0,4,penalty_slippage_active_fraction,0.9800000190734863
g1_lafan,4728,4728,9600000,move-ego-0-0,5,return,32.08628845214844
g1_lafan,4728,4728,9600000,move-ego-0-0,5,auxiliary_cost,1.9973337650299072
g1_lafan,4728,4728,9600000,move-ego-0-0,5,safety_violation_rate,0.9960000514984131
g1_lafan,4728,4728,9600000,move-ego-0-0,5,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,5,action_l2,2.908971071243286
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_torques_mean,6045.02294921875
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_action_rate_mean,1.2954291105270386
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,5,limits_dof_pos_mean,0.0945502519607544
g1_lafan,4728,4728,9600000,move-ego-0-0,5,limits_dof_pos_active_fraction,0.9960000514984131
g1_lafan,4728,4728,9600000,move-ego-0-0,5,limits_torque_mean,4.399404048919678
g1_lafan,4728,4728,9600000,move-ego-0-0,5,limits_torque_active_fraction,0.9900000691413879
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_undesired_contact_mean,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_undesired_contact_active_fraction,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_feet_ori_mean,0.48192593455314636
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_feet_ori_active_fraction,0.9980000257492065
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_ankle_roll_mean,0.135572150349617
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_slippage_mean,0.09361444413661957
g1_lafan,4728,4728,9600000,move-ego-0-0,5,penalty_slippage_active_fraction,0.9980000257492065
g1_lafan,4728,4728,9600000,move-ego-0-0,6,return,57.33793640136719
g1_lafan,4728,4728,9600000,move-ego-0-0,6,auxiliary_cost,2.6828794479370117
g1_lafan,4728,4728,9600000,move-ego-0-0,6,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,6,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,6,action_l2,3.04864239692688
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_torques_mean,9677.265625
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_action_rate_mean,2.902520179748535
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,6,limits_dof_pos_mean,0.08956948667764664
g1_lafan,4728,4728,9600000,move-ego-0-0,6,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,6,limits_torque_mean,5.2233452796936035
g1_lafan,4728,4728,9600000,move-ego-0-0,6,limits_torque_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_undesired_contact_mean,0.10400000214576721
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_undesired_contact_active_fraction,0.10400000214576721
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_feet_ori_mean,0.5590973496437073
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_feet_ori_active_fraction,0.9740000367164612
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_ankle_roll_mean,0.13641972839832306
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_slippage_mean,0.3118065297603607
g1_lafan,4728,4728,9600000,move-ego-0-0,6,penalty_slippage_active_fraction,0.9760000705718994
g1_lafan,4728,4728,9600000,move-ego-0-0,7,return,112.70317840576172
g1_lafan,4728,4728,9600000,move-ego-0-0,7,auxiliary_cost,2.2479488849639893
g1_lafan,4728,4728,9600000,move-ego-0-0,7,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,7,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,7,action_l2,2.947523355484009
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_torques_mean,7366.333984375
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_action_rate_mean,2.817964792251587
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,7,limits_dof_pos_mean,0.0937267318367958
g1_lafan,4728,4728,9600000,move-ego-0-0,7,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,7,limits_torque_mean,4.673977851867676
g1_lafan,4728,4728,9600000,move-ego-0-0,7,limits_torque_active_fraction,0.9980000257492065
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_undesired_contact_mean,0.018000001087784767
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_undesired_contact_active_fraction,0.018000001087784767
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_feet_ori_mean,0.40013793110847473
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_feet_ori_active_fraction,0.984000027179718
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_ankle_roll_mean,0.13627971708774567
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_slippage_mean,0.1528557389974594
g1_lafan,4728,4728,9600000,move-ego-0-0,7,penalty_slippage_active_fraction,0.984000027179718
g1_lafan,4728,4728,9600000,move-ego-0-0,8,return,1.0482949018478394
g1_lafan,4728,4728,9600000,move-ego-0-0,8,auxiliary_cost,2.941591739654541
g1_lafan,4728,4728,9600000,move-ego-0-0,8,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,8,termination_rate,0.0
g1_lafan,4728,4728,9600000,move-ego-0-0,8,action_l2,3.194472551345825
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_torques_mean,9060.6328125
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_torques_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_action_rate_mean,5.798232078552246
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_action_rate_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,8,limits_dof_pos_mean,0.09068581461906433
g1_lafan,4728,4728,9600000,move-ego-0-0,8,limits_dof_pos_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,8,limits_torque_mean,4.742986679077148
g1_lafan,4728,4728,9600000,move-ego-0-0,8,limits_torque_active_fraction,0.9960000514984131
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_undesired_contact_mean,0.23800000548362732
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_undesired_contact_active_fraction,0.23800000548362732
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_feet_ori_mean,0.4684083163738251
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_feet_ori_active_fraction,0.8760000467300415
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_ankle_roll_mean,0.13450346887111664
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_ankle_roll_active_fraction,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_slippage_mean,0.24576608836650848
g1_lafan,4728,4728,9600000,move-ego-0-0,8,penalty_slippage_active_fraction,0.878000020980835
g1_lafan,4728,4728,9600000,move-ego-0-0,9,return,58.69461441040039
g1_lafan,4728,4728,9600000,move-ego-0-0,9,auxiliary_cost,2.20310640335083
g1_lafan,4728,4728,9600000,move-ego-0-0,9,safety_violation_rate,1.0
g1_lafan,4728,4728,9600000,move-ego-0-0,9,termination_rate,0.0
